Adverse Event,PK Metric,Median Cutoff,High (AE+/N),Low (AE+/N),OR (95% CI),OR,p-value,Sig
CRS (all grade),Cmax_72hr,0.195,9/14,6/15,2.70 (0.60-12.15),2.699999999999909,0.19555385736894149,
CRS (all grade),Cavg_72hr,0.1141,9/14,6/15,2.70 (0.60-12.15),2.699999999999908,0.19555385736894174,
CRS (all grade),Cmax_120hr,0.8046,11/14,4/15,10.08 (1.82-56.00),10.083333333296322,0.00824597104325392,*
CRS (all grade),Cavg_120hr,0.296,11/14,4/15,10.08 (1.82-56.00),10.083333333296322,0.008245971043253942,*
CRS (all grade),Cmax_dose1,0.1388,5/14,10/15,0.28 (0.06-1.29),0.27777777777784307,0.10130153440625747,
CRS (all grade),Cavg_dose1,0.0883,5/14,10/15,0.28 (0.06-1.29),0.27777777777784307,0.10130153440625747,
CRS (all grade),Cmax_dose3,5.6769,6/13,9/14,0.48 (0.10-2.23),0.47619047619049243,0.3463056430376636,
CRS (all grade),Cavg_dose3,4.4835,6/13,9/14,0.48 (0.10-2.23),0.47619047619049243,0.3463056430376636,
CRS (Grade 2+),Cmax_72hr,0.195,4/14,2/15,2.60 (0.39-17.16),2.599999999997652,0.320971607626411,
CRS (Grade 2+),Cavg_72hr,0.1141,5/14,1/15,7.78 (0.78-77.93),7.777777777588509,0.08106194437979611,
CRS (Grade 2+),Cmax_120hr,0.8046,5/14,1/15,7.78 (0.78-77.93),7.777777777588499,0.08106194437979626,
CRS (Grade 2+),Cavg_120hr,0.296,5/14,1/15,7.78 (0.78-77.93),7.777777777588495,0.08106194437979636,
CRS (Grade 2+),Cmax_dose1,0.1388,3/14,3/15,1.09 (0.18-6.58),1.0909090909097967,0.9244054565349415,
CRS (Grade 2+),Cavg_dose1,0.0883,2/14,4/15,0.46 (0.07-3.02),0.45833333333206555,0.4170769084030626,
CRS (Grade 2+),Cmax_dose3,5.6769,3/13,3/14,1.10 (0.18-6.76),1.1000000000012993,0.9180258000116223,
CRS (Grade 2+),Cavg_dose3,4.4835,3/13,3/14,1.10 (0.18-6.76),1.1000000000012993,0.9180258000116223,
Neurotoxicity (all grade),Cmax_72hr,0.195,3/14,2/15,1.77 (0.25-12.60),1.772727272723794,0.5671957660085782,
Neurotoxicity (all grade),Cavg_72hr,0.1141,3/14,2/15,1.77 (0.25-12.60),1.772727272723794,0.5671957660085782,
Neurotoxicity (all grade),Cmax_120hr,0.8046,1/14,4/15,0.21 (0.02-2.18),0.21153846153948375,0.19204999184221697,
Neurotoxicity (all grade),Cavg_120hr,0.296,1/14,4/15,0.21 (0.02-2.18),0.21153846153948375,0.19204999184221697,
Neurotoxicity (all grade),Cmax_dose1,0.1388,3/14,2/15,1.77 (0.25-12.60),1.7727272727237933,0.5671957660085786,
Neurotoxicity (all grade),Cavg_dose1,0.0883,3/14,2/15,1.77 (0.25-12.60),1.772727272723792,0.5671957660085791,
Neurotoxicity (all grade),Cmax_dose3,5.6769,2/13,2/14,1.09 (0.13-9.12),1.0909090909090335,0.9360013575661923,
Neurotoxicity (all grade),Cavg_dose3,4.4835,2/13,2/14,1.09 (0.13-9.12),1.0909090909090335,0.9360013575661923,
Neurotoxicity (Grade 2+),Cmax_72hr,0.195,3/14,2/15,1.77 (0.25-12.60),1.772727272723794,0.5671957660085782,
Neurotoxicity (Grade 2+),Cavg_72hr,0.1141,3/14,2/15,1.77 (0.25-12.60),1.772727272723794,0.5671957660085782,
Neurotoxicity (Grade 2+),Cmax_120hr,0.8046,1/14,4/15,0.21 (0.02-2.18),0.21153846153948375,0.19204999184221697,
Neurotoxicity (Grade 2+),Cavg_120hr,0.296,1/14,4/15,0.21 (0.02-2.18),0.21153846153948375,0.19204999184221697,
Neurotoxicity (Grade 2+),Cmax_dose1,0.1388,3/14,2/15,1.77 (0.25-12.60),1.7727272727237933,0.5671957660085786,
Neurotoxicity (Grade 2+),Cavg_dose1,0.0883,3/14,2/15,1.77 (0.25-12.60),1.772727272723792,0.5671957660085791,
Neurotoxicity (Grade 2+),Cmax_dose3,5.6769,2/13,2/14,1.09 (0.13-9.12),1.0909090909090335,0.9360013575661923,
Neurotoxicity (Grade 2+),Cavg_dose3,4.4835,2/13,2/14,1.09 (0.13-9.12),1.0909090909090335,0.9360013575661923,
