Adverse Event,PK Metric,N,AE+,OR (95% CI),OR,p-value,Sig
CRS (all grade),Cmax_72hr,29,15,1.98 (0.87-4.47),1.9777612669931206,0.10161669847920092,
CRS (all grade),Cavg_72hr,29,15,2.10 (0.89-4.99),2.1039730611646954,0.0914959303430799,
CRS (all grade),Cmax_120hr,29,15,8.48 (0.85-84.43),8.477122813773988,0.06836655847404231,
CRS (all grade),Cavg_120hr,29,15,3.50 (1.23-9.93),3.498108202165686,0.018695778463586284,*
CRS (all grade),Cmax_dose1,29,15,0.66 (0.31-1.43),0.6621504755430422,0.2949442077088763,
CRS (all grade),Cavg_dose1,29,15,0.62 (0.28-1.38),0.6216045687571242,0.2417151272152229,
CRS (all grade),Cmax_dose3,27,15,0.94 (0.43-2.03),0.9390905083321983,0.8734221701105551,
CRS (all grade),Cavg_dose3,27,15,0.87 (0.40-1.89),0.8718673642654713,0.7290272508692655,
CRS (Grade 2+),Cmax_72hr,29,6,3.02 (1.06-8.61),3.0194901619897934,0.03873944798568721,*
CRS (Grade 2+),Cavg_72hr,29,6,4.14 (1.28-13.46),4.143926890417155,0.018036327282339473,*
CRS (Grade 2+),Cmax_120hr,29,6,0.94 (0.36-2.41),0.9372606345371912,0.8930588925387614,
CRS (Grade 2+),Cavg_120hr,29,6,1.92 (0.75-4.92),1.923830909195878,0.17166858672565197,
CRS (Grade 2+),Cmax_dose1,29,6,1.03 (0.41-2.56),1.030215292325634,0.9489694210312539,
CRS (Grade 2+),Cavg_dose1,29,6,0.90 (0.35-2.30),0.9016973987489275,0.8284339539266821,
CRS (Grade 2+),Cmax_dose3,27,6,1.53 (0.61-3.85),1.532347719471304,0.3642059723548458,
CRS (Grade 2+),Cavg_dose3,27,6,1.57 (0.61-4.04),1.5664708766305886,0.3526713213543232,
Neurotoxicity (all grade),Cmax_72hr,29,5,0.86 (0.31-2.37),0.8579396292140508,0.7672714411000816,
Neurotoxicity (all grade),Cavg_72hr,29,5,0.76 (0.26-2.18),0.7560121075338658,0.6046139787629718,
Neurotoxicity (all grade),Cmax_120hr,29,5,1.16 (0.46-2.89),1.1558875536508855,0.7567664069145764,
Neurotoxicity (all grade),Cavg_120hr,29,5,0.87 (0.32-2.39),0.8737182934692765,0.7923773757929179,
Neurotoxicity (all grade),Cmax_dose1,29,5,0.95 (0.35-2.55),0.9519926820116155,0.9221805899642904,
Neurotoxicity (all grade),Cavg_dose1,29,5,0.91 (0.34-2.49),0.914600814695054,0.8613816992077428,
Neurotoxicity (all grade),Cmax_dose3,27,4,1.06 (0.36-3.10),1.060880845448911,0.9140982116992306,
Neurotoxicity (all grade),Cavg_dose3,27,4,1.09 (0.37-3.21),1.0933509076883114,0.871060373233695,
Neurotoxicity (Grade 2+),Cmax_72hr,29,5,0.86 (0.31-2.37),0.8579396292140508,0.7672714411000816,
Neurotoxicity (Grade 2+),Cavg_72hr,29,5,0.76 (0.26-2.18),0.7560121075338658,0.6046139787629718,
Neurotoxicity (Grade 2+),Cmax_120hr,29,5,1.16 (0.46-2.89),1.1558875536508855,0.7567664069145764,
Neurotoxicity (Grade 2+),Cavg_120hr,29,5,0.87 (0.32-2.39),0.8737182934692765,0.7923773757929179,
Neurotoxicity (Grade 2+),Cmax_dose1,29,5,0.95 (0.35-2.55),0.9519926820116155,0.9221805899642904,
Neurotoxicity (Grade 2+),Cavg_dose1,29,5,0.91 (0.34-2.49),0.914600814695054,0.8613816992077428,
Neurotoxicity (Grade 2+),Cmax_dose3,27,4,1.06 (0.36-3.10),1.060880845448911,0.9140982116992306,
Neurotoxicity (Grade 2+),Cavg_dose3,27,4,1.09 (0.37-3.21),1.0933509076883114,0.871060373233695,
