Adverse Event,PK Metric,AE+ (N),AE- (N),AE+ Median (IQR),AE- Median (IQR),p-value,Sig
CRS (all grade),Cmax_72hr,15,14,0.3922 (0.1615-0.5324),0.1769 (0.1511-0.3509),0.14561932140225037,
CRS (all grade),Cavg_72hr,15,14,0.1197 (0.0977-0.1637),0.1053 (0.0896-0.1213),0.14561932140225037,
CRS (all grade),Cmax_120hr,15,14,1.0232 (0.8015-1.6743),0.6539 (0.6282-0.7654),0.0050624842377572825,*
CRS (all grade),Cavg_120hr,15,14,0.4075 (0.2768-0.4735),0.2304 (0.1861-0.2947),0.009114637727575842,*
CRS (all grade),Cmax_dose1,15,14,0.1355 (0.1225-0.1511),0.1489 (0.1205-0.1909),0.40049438644970603,
CRS (all grade),Cavg_dose1,15,14,0.0802 (0.0717-0.1025),0.0904 (0.0691-0.1208),0.40049438644970603,
CRS (all grade),Cmax_dose3,15,12,5.1947 (4.7769-7.2547),6.1408 (5.1577-6.9014),0.791886727113541,
CRS (all grade),Cavg_dose3,15,12,4.1590 (3.6247-5.7179),4.7845 (3.9739-5.2954),0.7551246961261768,
Neurotoxicity (all grade),Cmax_72hr,5,24,0.1959 (0.1505-0.4025),0.1908 (0.1498-0.4884),0.8448654793482382,
Neurotoxicity (all grade),Cavg_72hr,5,24,0.1154 (0.0885-0.1233),0.1117 (0.0913-0.1491),0.8448654793482382,
Neurotoxicity (all grade),Cmax_120hr,5,24,0.6981 (0.6405-0.7750),0.8649 (0.6394-1.0300),0.6338259441707719,
Neurotoxicity (all grade),Cavg_120hr,5,24,0.2541 (0.2077-0.2938),0.3042 (0.2067-0.4113),0.5942318218180288,
Neurotoxicity (all grade),Cmax_dose1,5,24,0.1473 (0.1155-0.1505),0.1372 (0.1220-0.1803),0.9776935707970194,
Neurotoxicity (all grade),Cavg_dose1,5,24,0.0885 (0.0689-0.0920),0.0874 (0.0731-0.1090),0.8888552060965856,
Neurotoxicity (all grade),Cmax_dose3,4,23,5.6408 (5.1252-6.5162),5.3453 (4.8580-6.9155),0.9214814814814818,
Neurotoxicity (all grade),Cavg_dose3,4,23,4.3278 (3.9616-5.0027),4.3300 (3.7284-5.3619),1,
Neutropenia (Gr3+),Cmax_72hr,24,5,0.1950 (0.1480-0.4884),0.1779 (0.1759-0.3922),0.7583007031282896,
Neutropenia (Gr3+),Cavg_72hr,24,5,0.1141 (0.0887-0.1491),0.1057 (0.1049-0.1197),0.7583007031282896,
Neutropenia (Gr3+),Cmax_120hr,24,5,0.7558 (0.6421-0.9802),0.8971 (0.4677-2.0938),0.9331986021641197,
