Adverse Event,PK Metric,Median Cutoff,High (AE+/N),Low (AE+/N),OR (95% CI),OR,p-value,Sig
CRS (all grade),Cmax_72hr,0.194,10/15,5/14,"3.60 (0.78, 16.66)",3.60,0.101,
CRS (all grade),Cavg_72hr,0.114,10/15,5/14,"3.60 (0.78, 16.66)",3.60,0.101,
CRS (all grade),Cmax_120hr,0.775,11/15,4/14,"6.87 (1.35, 35.06)",6.87,0.020,*
CRS (all grade),Cavg_120hr,0.295,11/15,4/14,"6.87 (1.35, 35.06)",6.87,0.020,*
CRS (all grade),Cmax_dose1,0.137,6/15,9/14,"0.37 (0.08, 1.67)",0.37,0.196,
CRS (all grade),Cavg_dose1,0.088,6/15,9/14,"0.37 (0.08, 1.67)",0.37,0.196,
CRS (all grade),Cmax_dose3,5.345,7/14,8/13,"0.63 (0.14, 2.89)",0.63,0.548,
CRS (all grade),Cavg_dose3,4.330,7/14,8/13,"0.63 (0.14, 2.89)",0.63,0.548,
CRS (Grade 2+),Cmax_72hr,0.194,5/15,1/14,"6.50 (0.65, 64.83)",6.50,0.111,
CRS (Grade 2+),Cavg_72hr,0.114,5/15,1/14,"6.50 (0.65, 64.83)",6.50,0.111,
CRS (Grade 2+),Cmax_120hr,0.775,5/15,1/14,"6.50 (0.65, 64.83)",6.50,0.111,
CRS (Grade 2+),Cavg_120hr,0.295,5/15,1/14,"6.50 (0.65, 64.83)",6.50,0.111,
CRS (Grade 2+),Cmax_dose1,0.137,4/15,2/14,"2.18 (0.33, 14.36)",2.18,0.417,
CRS (Grade 2+),Cavg_dose1,0.088,3/15,3/14,"0.92 (0.15, 5.53)",0.92,0.924,
CRS (Grade 2+),Cmax_dose3,5.345,4/14,2/13,"2.20 (0.33, 14.73)",2.20,0.416,
CRS (Grade 2+),Cavg_dose3,4.330,4/14,2/13,"2.20 (0.33, 14.73)",2.20,0.416,
Neurotoxicity (all grade),Cmax_72hr,0.194,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (all grade),Cavg_72hr,0.114,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (all grade),Cmax_120hr,0.775,2/15,3/14,"0.56 (0.08, 4.01)",0.56,0.567,
Neurotoxicity (all grade),Cavg_120hr,0.295,1/15,4/14,"0.18 (0.02, 1.85)",0.18,0.148,
Neurotoxicity (all grade),Cmax_dose1,0.137,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (all grade),Cavg_dose1,0.088,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (all grade),Cmax_dose3,5.345,2/14,2/13,"0.92 (0.11, 7.67)",0.92,0.936,
Neurotoxicity (all grade),Cavg_dose3,4.330,2/14,2/13,"0.92 (0.11, 7.67)",0.92,0.936,
Neurotoxicity (Grade 2+),Cmax_72hr,0.194,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (Grade 2+),Cavg_72hr,0.114,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (Grade 2+),Cmax_120hr,0.775,2/15,3/14,"0.56 (0.08, 4.01)",0.56,0.567,
Neurotoxicity (Grade 2+),Cavg_120hr,0.295,1/15,4/14,"0.18 (0.02, 1.85)",0.18,0.148,
Neurotoxicity (Grade 2+),Cmax_dose1,0.137,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (Grade 2+),Cavg_dose1,0.088,3/15,2/14,"1.50 (0.21, 10.65)",1.50,0.685,
Neurotoxicity (Grade 2+),Cmax_dose3,5.345,2/14,2/13,"0.92 (0.11, 7.67)",0.92,0.936,
Neurotoxicity (Grade 2+),Cavg_dose3,4.330,2/14,2/13,"0.92 (0.11, 7.67)",0.92,0.936,
