Adverse Event,PK Metric,N,AE+,OR (95% CI),OR,p-value,Sig
CRS (all grade),Cmax_72hr,29,15,"1.98 (0.87, 4.47)",1.98,0.102,
CRS (all grade),Cavg_72hr,29,15,"2.10 (0.89, 4.99)",2.10,0.091,
CRS (all grade),Cmax_120hr,29,15,"8.48 (0.85, 84.43)",8.48,0.068,
CRS (all grade),Cavg_120hr,29,15,"3.50 (1.23, 9.93)",3.50,0.019,*
CRS (all grade),Cmax_dose1,29,15,"0.66 (0.31, 1.43)",0.66,0.295,
CRS (all grade),Cavg_dose1,29,15,"0.62 (0.28, 1.38)",0.62,0.242,
CRS (all grade),Cmax_dose3,27,15,"0.94 (0.43, 2.03)",0.94,0.873,
CRS (all grade),Cavg_dose3,27,15,"0.87 (0.40, 1.89)",0.87,0.729,
CRS (Grade 2+),Cmax_72hr,29,6,"3.02 (1.06, 8.61)",3.02,0.039,*
CRS (Grade 2+),Cavg_72hr,29,6,"4.14 (1.28, 13.46)",4.14,0.018,*
CRS (Grade 2+),Cmax_120hr,29,6,"0.94 (0.36, 2.41)",0.94,0.893,
CRS (Grade 2+),Cavg_120hr,29,6,"1.92 (0.75, 4.92)",1.92,0.172,
CRS (Grade 2+),Cmax_dose1,29,6,"1.03 (0.41, 2.56)",1.03,0.949,
CRS (Grade 2+),Cavg_dose1,29,6,"0.90 (0.35, 2.30)",0.90,0.828,
CRS (Grade 2+),Cmax_dose3,27,6,"1.53 (0.61, 3.85)",1.53,0.364,
CRS (Grade 2+),Cavg_dose3,27,6,"1.57 (0.61, 4.04)",1.57,0.353,
Neurotoxicity (all grade),Cmax_72hr,29,5,"0.86 (0.31, 2.37)",0.86,0.767,
Neurotoxicity (all grade),Cavg_72hr,29,5,"0.76 (0.26, 2.18)",0.76,0.605,
Neurotoxicity (all grade),Cmax_120hr,29,5,"1.16 (0.46, 2.89)",1.16,0.757,
Neurotoxicity (all grade),Cavg_120hr,29,5,"0.87 (0.32, 2.39)",0.87,0.792,
Neurotoxicity (all grade),Cmax_dose1,29,5,"0.95 (0.35, 2.55)",0.95,0.922,
Neurotoxicity (all grade),Cavg_dose1,29,5,"0.91 (0.34, 2.49)",0.91,0.861,
Neurotoxicity (all grade),Cmax_dose3,27,4,"1.06 (0.36, 3.10)",1.06,0.914,
Neurotoxicity (all grade),Cavg_dose3,27,4,"1.09 (0.37, 3.21)",1.09,0.871,
Neurotoxicity (Grade 2+),Cmax_72hr,29,5,"0.86 (0.31, 2.37)",0.86,0.767,
Neurotoxicity (Grade 2+),Cavg_72hr,29,5,"0.76 (0.26, 2.18)",0.76,0.605,
Neurotoxicity (Grade 2+),Cmax_120hr,29,5,"1.16 (0.46, 2.89)",1.16,0.757,
Neurotoxicity (Grade 2+),Cavg_120hr,29,5,"0.87 (0.32, 2.39)",0.87,0.792,
Neurotoxicity (Grade 2+),Cmax_dose1,29,5,"0.95 (0.35, 2.55)",0.95,0.922,
Neurotoxicity (Grade 2+),Cavg_dose1,29,5,"0.91 (0.34, 2.49)",0.91,0.861,
Neurotoxicity (Grade 2+),Cmax_dose3,27,4,"1.06 (0.36, 3.10)",1.06,0.914,
Neurotoxicity (Grade 2+),Cavg_dose3,27,4,"1.09 (0.37, 3.21)",1.09,0.871,
