Adverse Event,PK Metric,AE+ (N),AE- (N),AE+ Median (IQR),AE- Median (IQR),p-value,Sig
CRS (all grade),Cmax_72hr,15,14,"0.392 (0.161, 0.532)","0.177 (0.151, 0.351)",0.146,
CRS (all grade),Cavg_72hr,15,14,"0.120 (0.098, 0.164)","0.105 (0.090, 0.121)",0.146,
CRS (all grade),Cmax_120hr,15,14,"1.023 (0.801, 1.674)","0.654 (0.628, 0.765)",0.005,*
CRS (all grade),Cavg_120hr,15,14,"0.408 (0.277, 0.473)","0.230 (0.186, 0.295)",0.009,*
CRS (all grade),Cmax_dose1,15,14,"0.135 (0.123, 0.151)","0.149 (0.121, 0.191)",0.400,
CRS (all grade),Cavg_dose1,15,14,"0.080 (0.072, 0.103)","0.090 (0.069, 0.121)",0.400,
CRS (all grade),Cmax_dose3,15,12,"5.195 (4.777, 7.255)","6.141 (5.158, 6.901)",0.792,
CRS (all grade),Cavg_dose3,15,12,"4.159 (3.625, 5.718)","4.784 (3.974, 5.295)",0.755,
Neurotoxicity (all grade),Cmax_72hr,5,24,"0.196 (0.151, 0.403)","0.191 (0.150, 0.488)",0.845,
Neurotoxicity (all grade),Cavg_72hr,5,24,"0.115 (0.089, 0.123)","0.112 (0.091, 0.149)",0.845,
Neurotoxicity (all grade),Cmax_120hr,5,24,"0.698 (0.641, 0.775)","0.865 (0.639, 1.030)",0.634,
Neurotoxicity (all grade),Cavg_120hr,5,24,"0.254 (0.208, 0.294)","0.304 (0.207, 0.411)",0.594,
Neurotoxicity (all grade),Cmax_dose1,5,24,"0.147 (0.116, 0.151)","0.137 (0.122, 0.180)",0.978,
Neurotoxicity (all grade),Cavg_dose1,5,24,"0.089 (0.069, 0.092)","0.087 (0.073, 0.109)",0.889,
Neurotoxicity (all grade),Cmax_dose3,4,23,"5.641 (5.125, 6.516)","5.345 (4.858, 6.915)",0.921,
Neurotoxicity (all grade),Cavg_dose3,4,23,"4.328 (3.962, 5.003)","4.330 (3.728, 5.362)",1.000,
Neutropenia (Gr3+),Cmax_72hr,24,5,"0.195 (0.148, 0.488)","0.178 (0.176, 0.392)",0.758,
Neutropenia (Gr3+),Cavg_72hr,24,5,"0.114 (0.089, 0.149)","0.106 (0.105, 0.120)",0.758,
Neutropenia (Gr3+),Cmax_120hr,24,5,"0.756 (0.642, 0.980)","0.897 (0.468, 2.094)",0.933,
Neutropenia (Gr3+),Cavg_120hr,24,5,"0.295 (0.211, 0.401)","0.295 (0.142, 0.449)",0.889,
Neutropenia (Gr3+),Cmax_dose1,24,5,"0.137 (0.122, 0.178)","0.147 (0.116, 0.178)",1.000,
Neutropenia (Gr3+),Cavg_dose1,24,5,"0.087 (0.073, 0.109)","0.092 (0.069, 0.105)",0.978,
Neutropenia (Gr3+),Cmax_dose3,23,4,"6.009 (4.904, 6.915)","4.977 (4.501, 5.792)",0.409,
Neutropenia (Gr3+),Cavg_dose3,23,4,"4.637 (3.832, 5.362)","3.905 (3.634, 4.410)",0.409,
Thrombocytopenia (Gr3+),Cmax_72hr,18,11,"0.299 (0.176, 0.517)","0.153 (0.134, 0.293)",0.039,*
