Outcome,Cutoff,Sensitivity,Specificity,PPV,NPV,Accuracy,Youden's J,F1 Score,LR+,LR-,Optimal
Response (≥VGPR),0.15,0.929,0.25,0.812,0.5,0.778,0.179,0.867,1.238,0.286,
Response (≥VGPR),0.2,0.857,0.25,0.8,0.333,0.722,0.107,0.828,1.143,0.571,
Response (≥VGPR),0.25,0.643,0.75,0.9,0.375,0.667,0.393,0.75,2.571,0.476,
Response (≥VGPR),0.2959970097864463,0.643,1,1,0.444,0.722,0.643,0.783,Inf,0.357,***
Response (≥VGPR),0.30000000000000004,0.571,1,1,0.4,0.667,0.571,0.727,Inf,0.429,
Response (≥VGPR),0.35,0.357,1,1,0.308,0.5,0.357,0.526,Inf,0.643,
Response (≥VGPR),0.4,0.286,1,1,0.286,0.444,0.286,0.444,Inf,0.714,
Response (≥VGPR),0.45,0.143,1,1,0.25,0.333,0.143,0.25,Inf,0.857,
CRS (any grade),0.15,0.867,0.143,0.52,0.5,0.517,0.01,0.65,1.011,0.933,
CRS (any grade),0.2,0.867,0.357,0.591,0.714,0.621,0.224,0.703,1.348,0.373,
CRS (any grade),0.25,0.733,0.571,0.647,0.667,0.655,0.305,0.688,1.711,0.467,
CRS (any grade),0.30000000000000004,0.733,0.857,0.846,0.75,0.793,0.59,0.786,5.133,0.311,***
CRS (any grade),0.35,0.533,0.857,0.8,0.632,0.69,0.39,0.64,3.733,0.544,
CRS (any grade),0.4,0.533,1,1,0.667,0.759,0.533,0.696,Inf,0.467,
CRS (any grade),0.45000000000000007,0.333,1,1,0.583,0.655,0.333,0.5,Inf,0.667,
CRS (any grade),0.5,0.2,1,1,0.538,0.586,0.2,0.333,Inf,0.8,
CRS (any grade),0.55,0.133,1,1,0.519,0.552,0.133,0.235,Inf,0.867,
CRS (Grade 2+),0.15,0.833,0.13,0.2,0.75,0.276,-0.036,0.323,0.958,1.278,
CRS (Grade 2+),0.2,0.833,0.261,0.227,0.857,0.379,0.094,0.357,1.127,0.639,
CRS (Grade 2+),0.25,0.833,0.478,0.294,0.917,0.552,0.312,0.435,1.597,0.348,
CRS (Grade 2+),0.30000000000000004,0.833,0.652,0.385,0.938,0.69,0.486,0.526,2.396,0.256,
CRS (Grade 2+),0.35,0.667,0.739,0.4,0.895,0.724,0.406,0.5,2.556,0.451,
CRS (Grade 2+),0.4,0.667,0.826,0.5,0.905,0.793,0.493,0.571,3.833,0.404,***
CRS (Grade 2+),0.45000000000000007,0.333,0.87,0.4,0.833,0.759,0.203,0.364,2.556,0.767,
CRS (Grade 2+),0.5,0.167,0.913,0.333,0.808,0.759,0.08,0.222,1.917,0.913,
CRS (Grade 2+),0.55,0,0.913,0,0.778,0.724,-0.087,NA,0,1.095,
