Outcome,PK Metric,N,N Events,OR (95% CI),OR,OR_lower,OR_upper,p-value,Sig,Analysis
≥VGPR,Cmax_72hr,18,14,"11.62 (0.09, 1545.91)",11.623790292223964,0.08740009710558849,1545.9079020744114,0.326,,Logistic (OR)
≥VGPR,Cavg_72hr,18,14,"4.98 (0.52, 47.56)",4.980662442019653,0.5216177745492827,47.55780874756482,0.163,,Logistic (OR)
≥VGPR,Cmax_120hr,18,14,"12.58 (0.48, 331.93)",12.579227005806157,0.47672022284456,331.9283396861432,0.129,,Logistic (OR)
≥VGPR,Cavg_120hr,18,14,"6.30 (0.70, 56.85)",6.30316785250917,0.6988837444628082,56.84768789041327,0.101,,Logistic (OR)
≥VGPR,Cmax_dose1,18,14,"0.60 (0.19, 1.88)",0.5956806192858911,0.18859144274071946,1.8815031850658248,0.377,,Logistic (OR)
≥VGPR,Cavg_dose1,18,14,"0.42 (0.12, 1.52)",0.42141701477112287,0.11719802956401403,1.5153181414334544,0.186,,Logistic (OR)
≥VGPR,Cmax_dose3,18,14,"1.10 (0.35, 3.47)",1.0964758821370388,0.34636058600538205,3.471120585555065,0.876,,Logistic (OR)
≥VGPR,Cavg_dose3,18,14,"1.27 (0.40, 4.06)",1.271847423210795,0.3987936000587063,4.056223238511885,0.684,,Logistic (OR)
2-month PFS,Cmax_72hr,18,15,"4.53 (0.20, 104.07)",4.528019302791517,0.19700351881033942,104.07407405850103,0.345,,Logistic (OR)
2-month PFS,Cavg_72hr,18,15,"2.54 (0.39, 16.71)",2.54198860949176,0.3866131740739043,16.713621066494348,0.332,,Logistic (OR)
2-month PFS,Cmax_120hr,18,15,"1.81 (0.22, 14.64)",1.8136809175322524,0.22467410981745817,14.640932474566009,0.576,,Logistic (OR)
2-month PFS,Cavg_120hr,18,15,"2.28 (0.43, 11.96)",2.2752407621084405,0.43276501088507746,11.961966414457887,0.332,,Logistic (OR)
2-month PFS,Cmax_dose1,18,15,"0.44 (0.12, 1.69)",0.4408133363213589,0.11508079052931762,1.6885215732791132,0.232,,Logistic (OR)
2-month PFS,Cavg_dose1,18,15,"0.45 (0.11, 1.77)",0.4466038151265931,0.11294292659204284,1.7659801609893853,0.250,,Logistic (OR)
2-month PFS,Cmax_dose3,18,15,"0.70 (0.19, 2.51)",0.69651568481578,0.192935830934585,2.514484203604876,0.581,,Logistic (OR)
2-month PFS,Cavg_dose3,18,15,"0.64 (0.17, 2.43)",0.6384468961250361,0.16786736653477086,2.428193445730039,0.510,,Logistic (OR)
PFS,Cmax_72hr,18,8,"0.63 (0.28, 1.43)",0.6307355062883577,0.27827791844942074,1.4296041924905345,0.270,,Cox (HR)
PFS,Cavg_72hr,18,8,"0.71 (0.32, 1.57)",0.7078936415456543,0.3194832377482433,1.5685123616270935,0.395,,Cox (HR)
PFS,Cmax_120hr,18,8,"0.55 (0.19, 1.57)",0.5540555767703362,0.19491319354030734,1.5749451156923766,0.268,,Cox (HR)
PFS,Cavg_120hr,18,8,"0.58 (0.26, 1.33)",0.5844464852916015,0.25588019719432176,1.334912579851983,0.202,,Cox (HR)
PFS,Cmax_dose1,18,8,"2.25 (0.95, 5.33)",2.2474090358568164,0.9472456138543088,5.3321412108725905,0.066,,Cox (HR)
PFS,Cavg_dose1,18,8,"2.44 (1.00, 5.97)",2.4393841784527797,0.9969304787671774,5.96891688720798,0.051,,Cox (HR)
PFS,Cmax_dose3,18,8,"1.66 (0.73, 3.78)",1.662393007655562,0.7313340270959774,3.778780159971181,0.225,,Cox (HR)
PFS,Cavg_dose3,18,8,"1.54 (0.66, 3.60)",1.5361804255388922,0.655138232328971,3.6020646992616316,0.323,,Cox (HR)
