Outcome,PK Metric,N,N Events,OR (95% CI),OR,OR_lower,OR_upper,p-value,Sig,Analysis
≥VGPR,Cmax_72hr,18,14,7.26 (0.19-270.53),7.256821843358754,0.19466031194139558,270.53004662862656,0.28302085948127836,,Logistic (OR)
≥VGPR,Cavg_72hr,18,14,3.54 (0.53-23.42),3.53693059244146,0.5341193429467838,23.421503416689962,0.19027272428707356,,Logistic (OR)
≥VGPR,Cmax_120hr,18,14,3.86 (0.36-41.48),3.859726001743355,0.3591627937443951,41.4783632046693,0.2649376659103603,,Logistic (OR)
≥VGPR,Cavg_120hr,18,14,2.78 (0.59-13.00),2.7798123145352682,0.5943702016469141,13.00091505703101,0.1939468447204558,,Logistic (OR)
≥VGPR,Cmax_dose1,18,14,0.62 (0.19-1.95),0.6152728656922122,0.1943413980061566,1.9479159002711013,0.4087902987349184,,Logistic (OR)
≥VGPR,Cavg_dose1,18,14,0.46 (0.13-1.67),0.46397414123990716,0.1286488495323381,1.6733301892855013,0.2406460202889703,,Logistic (OR)
≥VGPR,Cmax_dose3,18,14,0.96 (0.31-3.00),0.9596573080611555,0.3068870758508056,3.0009153900078327,0.9435624664932664,,Logistic (OR)
≥VGPR,Cavg_dose3,18,14,1.08 (0.34-3.40),1.0801073781039232,0.3427791840109211,3.403450392125801,0.8953025261199009,,Logistic (OR)
2-month PFS,Cmax_72hr,17,15,10.45 (0.01-7869.73),10.448282507045274,0.01387171734156855,7869.725475150455,0.48751890210026605,,Logistic (OR)
2-month PFS,Cavg_72hr,17,15,5.23 (0.20-137.87),5.232478967441902,0.1985824153169558,137.87140266686117,0.32144956596550556,,Logistic (OR)
2-month PFS,Cmax_120hr,17,15,1.61 (0.16-16.01),1.6124806686243587,0.16240153348287137,16.01027928077719,0.6833088320781595,,Logistic (OR)
2-month PFS,Cavg_120hr,17,15,1.84 (0.30-11.12),1.8398256492980485,0.3044196686172771,11.119381461749857,0.5065457838182124,,Logistic (OR)
2-month PFS,Cmax_dose1,17,15,0.90 (0.20-4.06),0.9000386020862642,0.1996055166354407,4.05835218835613,0.8909848321845306,,Logistic (OR)
2-month PFS,Cavg_dose1,17,15,1.00 (0.22-4.59),1.0030250122742843,0.2191792888429402,4.590119716871385,0.996894228032739,,Logistic (OR)
2-month PFS,Cmax_dose3,17,15,1.14 (0.24-5.42),1.1431080636724282,0.2411032416194742,5.419653574360671,0.8662311552367876,,Logistic (OR)
2-month PFS,Cavg_dose3,17,15,1.00 (0.22-4.58),1.0007897775889558,0.2186922070268219,4.579862229858565,0.999188226948139,,Logistic (OR)
PFS,Cmax_72hr,17,7,0.64 (0.27-1.53),0.6389198082777147,0.26649147827804415,1.5318257981357155,0.31533284361344405,,Cox (HR)
PFS,Cavg_72hr,17,7,0.68 (0.28-1.64),0.6759742037192,0.2794704013061798,1.6350251116331809,0.38486512068669454,,Cox (HR)
PFS,Cmax_120hr,17,7,0.55 (0.18-1.68),0.5504799615610393,0.17999896626889725,1.68349960203413,0.29524340775876534,,Cox (HR)
PFS,Cavg_120hr,17,7,0.61 (0.26-1.46),0.6134134666099851,0.25745303947681547,1.4615328752114587,0.26990751917504563,,Cox (HR)
PFS,Cmax_dose1,17,7,1.68 (0.70-4.02),1.6815367275710824,0.7032845771248791,4.02051439508304,0.24259328125255467,,Cox (HR)
PFS,Cavg_dose1,17,7,1.79 (0.73-4.37),1.791627380649488,0.7340557767747323,4.372867529490216,0.20024353305712508,,Cox (HR)
PFS,Cmax_dose3,17,7,1.43 (0.59-3.47),1.4300890470645007,0.5893453349677426,3.4702144246985385,0.42897976808789356,,Cox (HR)
PFS,Cavg_dose3,17,7,1.30 (0.51-3.27),1.296676577038214,0.5148646800508803,3.2656544730809305,0.5814309258900962,,Cox (HR)
